feature,VIF
has_ob,inf
ob_valid,inf
ema_bullish_alignment,inf
ema_bearish_alignment,inf
supertrend_bearish,inf
supertrend_direction,inf
supertrend_bullish,inf
sweep_strength,47.08233492921923
has_sweep,46.77389904495785
rsi_value,13.021137419764033
structure_breaks,12.83866996144074
structure_trend,7.332721250818699
adx_strength,6.80810891972043
supertrend_strength,6.407117878108486
has_bos,4.7635050288445235
macd_hist_normalized,3.5435531972787735
volume_above_avg,2.650366762011476
dmi_strength,2.5995635440261036
rsi_strength,2.477557633005037
ema_spread_pct,2.1405060961827296
regime_confidence,1.9240424887510579
volume_ratio,1.7225384528869423
atr_percentile,1.5761924902494728
regime,1.462784991946034
ema_spread_trend,1.2089989243167842
macd_bearish_cross,1.1957308619339444
macd_bullish_cross,1.1144293870580644
trend_is_strong,1.1098171235388221
ema_bullish_cross,1.0724091258182986
ema_bearish_cross,1.0219254546399439
