feature,mean_abs_shap,mean_shap,std_shap
rsi_value,0.35632825,-0.0380076,0.44641033
dmi_strength,0.3022912,-0.061429396,0.40461993
macd_hist_normalized,0.26568684,-0.0119317565,0.36016858
atr_percentile,0.24833788,-0.03063102,0.39083275
volume_ratio,0.1770207,0.01734733,0.24950206
regime_confidence,0.16550326,0.01985321,0.2078527
ema_spread_pct,0.16174345,0.0027038432,0.25662774
adx_strength,0.16144136,0.01080873,0.22690979
sweep_strength,0.10552356,-0.01930179,0.1269647
supertrend_strength,0.092385486,-0.0018112222,0.12497489
supertrend_direction,0.07552571,0.0030272277,0.08594187
has_bos,0.05506104,0.00525094,0.06860706
macd_bullish_cross,0.051690567,-0.014393892,0.123825155
rsi_strength,0.036119983,-0.006791674,0.04300176
has_sweep,0.03521313,-0.0025362705,0.052242048
regime,0.034217294,-0.003594749,0.04582806
ema_spread_trend,0.031523682,-0.003227603,0.049910303
structure_trend,0.025548492,0.0019283663,0.043838035
structure_breaks,0.023297705,-0.0009792862,0.036534876
macd_bearish_cross,0.0079387035,-0.001018895,0.017177057
has_ob,0.0058978293,0.00020637621,0.014865402
ob_valid,0.0,0.0,0.0
ema_bearish_cross,0.0,0.0,0.0
ema_bullish_cross,0.0,0.0,0.0
ema_bearish_alignment,0.0,0.0,0.0
ema_bullish_alignment,0.0,0.0,0.0
volume_above_avg,0.0,0.0,0.0
supertrend_bullish,0.0,0.0,0.0
supertrend_bearish,0.0,0.0,0.0
trend_is_strong,0.0,0.0,0.0
