feature_1,feature_2,interaction_strength
rsi_value,atr_percentile,0.09713738
macd_hist_normalized,dmi_strength,0.074877284
supertrend_strength,regime_confidence,0.068644494
macd_hist_normalized,rsi_value,0.06282269
volume_ratio,dmi_strength,0.057937857
adx_strength,dmi_strength,0.051644992
adx_strength,macd_hist_normalized,0.04779729
ema_spread_pct,rsi_value,0.045530867
adx_strength,rsi_value,0.045518626
rsi_value,volume_ratio,0.042063765
ema_spread_pct,dmi_strength,0.039498597
ema_spread_pct,volume_ratio,0.037172653
ema_spread_pct,macd_hist_normalized,0.0348826
macd_hist_normalized,atr_percentile,0.031041194
dmi_strength,macd_bullish_cross,0.03066463
macd_hist_normalized,volume_ratio,0.030623233
dmi_strength,sweep_strength,0.029919624
atr_percentile,supertrend_direction,0.028488472
ema_spread_pct,atr_percentile,0.027629735
dmi_strength,regime_confidence,0.025869038
macd_hist_normalized,regime_confidence,0.0248031
dmi_strength,atr_percentile,0.024694955
ema_spread_pct,adx_strength,0.024544649
volume_ratio,atr_percentile,0.02433587
regime_confidence,atr_percentile,0.023651496
adx_strength,supertrend_strength,0.023251403
rsi_value,regime_confidence,0.02268272
volume_ratio,regime_confidence,0.02153512
adx_strength,atr_percentile,0.02098282
supertrend_strength,macd_hist_normalized,0.01883963
volume_ratio,supertrend_direction,0.018746145
ema_spread_pct,regime_confidence,0.017595084
supertrend_strength,dmi_strength,0.017111234
regime,atr_percentile,0.015585498
rsi_value,dmi_strength,0.015424921
sweep_strength,atr_percentile,0.015376036
rsi_strength,sweep_strength,0.015323843
adx_strength,volume_ratio,0.015133152
ema_spread_pct,sweep_strength,0.013562647
dmi_strength,has_bos,0.013488713
structure_trend,regime,0.013349202
dmi_strength,has_sweep,0.012937852
volume_ratio,regime,0.012424448
macd_hist_normalized,has_sweep,0.011680655
atr_percentile,ema_spread_trend,0.011536051
rsi_value,structure_trend,0.011524433
has_bos,atr_percentile,0.01047908
supertrend_strength,rsi_value,0.010471445
rsi_value,has_bos,0.010222342
adx_strength,sweep_strength,0.009767839
volume_ratio,has_bos,0.0096838
adx_strength,regime_confidence,0.009141944
ema_spread_pct,has_bos,0.009109935
macd_hist_normalized,ema_spread_trend,0.009101383
supertrend_strength,atr_percentile,0.0086996965
volume_ratio,macd_bullish_cross,0.008158633
rsi_value,has_sweep,0.008096406
macd_hist_normalized,sweep_strength,0.008069121
adx_strength,ema_spread_trend,0.008068039
dmi_strength,ema_spread_trend,0.007922256
ema_spread_trend,macd_bullish_cross,0.007828098
structure_trend,atr_percentile,0.007644426
rsi_strength,atr_percentile,0.007499295
rsi_value,regime,0.007489221
macd_hist_normalized,has_bos,0.007395586
ema_spread_pct,has_sweep,0.007153079
dmi_strength,structure_trend,0.007096268
rsi_strength,regime_confidence,0.0069984663
adx_strength,supertrend_direction,0.006924929
rsi_value,sweep_strength,0.0068716896
dmi_strength,regime,0.0066867275
rsi_strength,dmi_strength,0.006322564
adx_strength,has_sweep,0.0061524673
ema_spread_pct,rsi_strength,0.005907182
ema_spread_pct,structure_trend,0.005830183
sweep_strength,structure_breaks,0.005659493
has_bos,regime_confidence,0.0056226
sweep_strength,regime_confidence,0.005419314
volume_ratio,structure_trend,0.0052779033
structure_breaks,regime,0.004947972
rsi_value,macd_bullish_cross,0.004859646
has_sweep,atr_percentile,0.004791501
ema_spread_pct,regime,0.0047628107
macd_hist_normalized,supertrend_direction,0.0047517
dmi_strength,has_ob,0.0046169553
dmi_strength,structure_breaks,0.00459323
structure_breaks,atr_percentile,0.0044036186
ema_spread_pct,supertrend_strength,0.0043947995
supertrend_strength,volume_ratio,0.0041565103
macd_hist_normalized,regime,0.004065612
supertrend_strength,has_bos,0.0040036766
has_bos,sweep_strength,0.0038996816
