,ema_spread_pct,adx_strength,supertrend_strength,macd_hist_normalized,rsi_value,rsi_strength,volume_ratio,dmi_strength,has_bos,has_sweep,sweep_strength,has_ob,ob_valid,structure_trend,structure_breaks,regime,regime_confidence,atr_percentile,ema_spread_trend,supertrend_direction,ema_bullish_cross,ema_bearish_cross,ema_bullish_alignment,ema_bearish_alignment,macd_bullish_cross,macd_bearish_cross,volume_above_avg,supertrend_bullish,supertrend_bearish,trend_is_strong
ema_spread_pct,1.0,0.5278511201149234,0.5240034618100629,-0.02495557166556375,-0.016447787502512343,-0.5094798569294938,0.21320138894642343,0.5838389992969347,-0.25354343249573874,-0.19496712294853238,-0.2102167359713861,0.024689961903499046,0.024689961903499046,0.07098087113556285,-0.17376472099466694,-0.009201111451869566,0.3948418230011173,0.4202494986576695,0.2807081969082375,-0.01742952493884089,-0.09642833871453368,-0.050779784667158524,-0.04460830586626486,0.04460830586626486,-0.10782660220407365,-0.06988746955484365,0.25119742719004184,-0.01742952493884089,0.01742952493884089,0.09504046062902348
adx_strength,0.5278511201149234,1.0,0.924521774468599,-0.13777196643880052,-0.11971813134379536,-0.3035530224905991,0.22464613643692552,0.4926202955988476,-0.1870725786070438,-0.33393072027720233,-0.3449245625051287,0.002580255976100875,0.002580255976100875,0.09555754314216384,-0.1541170924290982,0.08818489942009564,0.3788563113110914,0.2546840484460303,0.06588913146223409,-0.09265947814802229,-0.043892825600880946,-0.014220378572800018,-0.1071824364342373,0.1071824364342373,-0.014299063388853646,0.07100451185909601,0.27939296899465166,-0.09265947814802229,0.09265947814802229,0.16167221433521325
supertrend_strength,0.5240034618100629,0.924521774468599,1.0,-0.13975163228144832,-0.12320801401349067,-0.3082185504402521,0.21128033119055162,0.49226724574636144,-0.19780932561057485,-0.28423241405469013,-0.29419198961824755,-0.014356832745342904,-0.014356832745342904,0.12569025280915466,-0.18518204258701956,0.03932747624144299,0.35498432343209074,0.22869224464326526,0.09699972412244458,-0.07124327913516589,-0.07852450088946117,-0.025806978913271102,-0.11814439643248602,0.11814439643248602,0.005292321107390532,0.05367127332821746,0.2611040625115314,-0.07124327913516589,0.07124327913516589,0.08193375322166535
macd_hist_normalized,-0.02495557166556375,-0.13777196643880052,-0.13975163228144832,1.0,0.8709285870222246,0.03193511054383291,-0.1417445162051195,-0.060399651435537376,0.13971864480755303,0.08492810666999695,0.07340495101078262,-0.06666968142751838,-0.06666968142751838,-0.007308516043789286,0.07790833087390067,0.030430691989625162,-0.0809445398232273,-0.09787652039123258,0.03703894371523307,0.7188621608057252,0.05658695628000291,-0.01304476150521709,0.733638509818425,-0.733638509818425,0.11948434520625295,-0.12877872183700037,-0.15401593408131423,0.7188621608057252,-0.7188621608057252,-0.020464078382475145
rsi_value,-0.016447787502512343,-0.11971813134379536,-0.12320801401349067,0.8709285870222246,1.0,0.06505226216395882,-0.21886857371157334,-0.07922806376678372,0.2517952473360409,0.06072166402923104,0.047830687074899104,-0.04040915925219851,-0.04040915925219851,0.05282472091607179,0.08671648589019024,0.051958390507817365,-0.13725378192350937,-0.06431316118919958,-0.026852086465977313,0.855579836736275,0.02241783571476154,-0.023245855277462982,0.864900214633042,-0.864900214633042,0.16311121269961912,-0.23367198550694845,-0.24101890812731838,0.855579836736275,-0.855579836736275,-0.012897528392316268
rsi_strength,-0.5094798569294938,-0.3035530224905991,-0.3082185504402521,0.03193511054383291,0.06505226216395882,1.0,-0.3986719883851838,-0.7458566609577012,0.2875222322404184,0.12868108289251579,0.15803708810736775,0.057581201873526354,0.057581201873526354,-0.06850073700104253,0.18406928094006042,0.1567730771156679,-0.4758820997215205,-0.010626792570060174,-0.3383176390971638,0.10426572101867955,0.057246278407228963,0.028585352864759567,0.13674477289132,-0.13674477289132,0.0910084902653815,-0.01281198120271614,-0.409141633952821,0.10426572101867955,-0.10426572101867955,-0.054058962153050144
volume_ratio,0.21320138894642343,0.22464613643692552,0.21128033119055162,-0.1417445162051195,-0.21886857371157334,-0.3986719883851838,1.0,0.4160851627838409,-0.3612186320612726,-0.2277576350299571,-0.24468988445309478,-0.04712591581669482,-0.04712591581669482,0.0974107769976434,-0.23763074152097405,-0.4187381825430558,0.4954052522976407,-0.0037155543959661807,0.15172527731707014,-0.2500015587312451,-0.051750851855671506,0.024419433033603517,-0.2711424206210608,0.2711424206210608,-0.0547312262380106,0.15284521254576244,0.8584696615352128,-0.2500015587312451,0.2500015587312451,-0.11710956066290597
dmi_strength,0.5838389992969347,0.4926202955988476,0.49226724574636144,-0.060399651435537376,-0.07922806376678372,-0.7458566609577012,0.4160851627838409,1.0,-0.2932450739685791,-0.11605274055939985,-0.14506807792564114,-0.029969083230535237,-0.029969083230535237,0.053817203953198146,-0.1833116582402618,-0.14589652823469143,0.5531468714066341,0.1551504191029555,0.34438762124443734,-0.12386153184782249,-0.0759391183332681,-0.00032350522876219975,-0.15676944718575153,0.15676944718575153,-0.0666786104654295,0.02158533468484241,0.4325322386726749,-0.12386153184782249,0.12386153184782249,0.07459581940779786
has_bos,-0.25354343249573874,-0.1870725786070438,-0.19780932561057485,0.13971864480755303,0.2517952473360409,0.2875222322404184,-0.3612186320612726,-0.2932450739685791,1.0,0.04605755863888698,0.03370962949088063,-0.02110430507926764,-0.02110430507926764,-0.3179515936180644,0.702685978054621,0.08394814512027357,-0.3396782506071755,-0.14413105869674728,-0.1390383847079638,0.3321973720057539,0.036946081281163126,-0.02634772175352656,0.35160768609154996,-0.35160768609154996,0.17232537738895892,-0.1722838966481058,-0.4466408519108804,0.3321973720057539,-0.3321973720057539,-0.06805354720735907
has_sweep,-0.19496712294853238,-0.33393072027720233,-0.28423241405469013,0.08492810666999695,0.06072166402923104,0.12868108289251579,-0.2277576350299571,-0.11605274055939985,0.04605755863888698,1.0,0.9695188732417451,0.042572348234844855,0.042572348234844855,-0.09367537391396379,0.11524784044358058,0.0233559465395813,-0.17879734036940068,-0.15769296449479034,-0.010531423416769364,-0.03953668693892422,-0.017165319141179393,-0.023764744849137938,-0.0463036864774039,0.0463036864774039,-0.11201091001481284,-0.09794839060414536,-0.29729659582125995,-0.03953668693892422,0.03953668693892422,-0.04031908592635258
