feature,cluster
macd_hist_normalized,1
rsi_value,1
ema_bearish_alignment,1
supertrend_bearish,1
supertrend_bullish,1
ema_bullish_alignment,1
supertrend_direction,1
ob_valid,2
has_ob,2
has_sweep,3
sweep_strength,3
ema_bullish_cross,4
atr_percentile,4
ema_bearish_cross,4
macd_bullish_cross,4
trend_is_strong,4
macd_bearish_cross,4
structure_trend,5
has_bos,5
structure_breaks,5
volume_above_avg,6
regime,6
volume_ratio,6
regime_confidence,6
supertrend_strength,7
adx_strength,7
rsi_strength,7
ema_spread_pct,7
dmi_strength,7
ema_spread_trend,7
