regime,direction,adx_bucket,score_bucket,N,WR,avg_pnl
expansion,SELL,strong_40+,score_5,56,0.8035714285714286,4.1075928571428575
range,BUY,weak_20-30,score_3,5,0.8,2.30896
expansion,BUY,moderate_30-40,score_5,5,0.8,2.33946
range,SELL,strong_40+,score_5,7,0.7142857142857143,3.3329285714285715
expansion,SELL,moderate_30-40,score_5,71,0.704225352112676,2.424977464788732
expansion,BUY,strong_40+,score_6+,35,0.6857142857142857,1.9710257142857144
trend,SELL,strong_40+,score_5,40,0.675,2.1038550000000003
range,SELL,moderate_30-40,score_5,8,0.625,1.5542375
range,SELL,strong_40+,score_3,5,0.6,4.25824
trend,SELL,moderate_30-40,score_5,35,0.5714285714285714,1.6819714285714287
expansion,BUY,weak_20-30,score_6+,56,0.5714285714285714,1.3574767857142855
expansion,BUY,moderate_30-40,score_6+,23,0.5652173913043478,1.3088695652173914
range,BUY,weak_20-30,score_6+,29,0.5517241379310345,1.1612034482758622
trend,SELL,weak_20-30,score_5,22,0.5454545454545454,1.9984590909090907
compression,BUY,weak_20-30,score_6+,13,0.5384615384615384,0.8294076923076923
compression,SELL,weak_20-30,score_5,13,0.5384615384615384,0.7027692307692307
range,SELL,weak_20-30,score_3,18,0.5,1.7117333333333333
expansion,BUY,weak_20-30,score_5,12,0.5,1.120175
range,BUY,strong_40+,score_6+,8,0.5,0.31043750000000003
range,BUY,strong_40+,score_4,22,0.45454545454545453,0.6199318181818183
range,SELL,weak_20-30,score_5,33,0.45454545454545453,0.7485575757575756
range,BUY,weak_20-30,score_5,108,0.4537037037037037,0.619212037037037
range,BUY,moderate_30-40,score_4,31,0.45161290322580644,0.5710967741935484
range,SELL,strong_40+,score_4,9,0.4444444444444444,1.0197333333333334
expansion,BUY,strong_40+,score_5,9,0.4444444444444444,0.7244222222222222
expansion,SELL,weak_20-30,score_4,7,0.42857142857142855,0.5891428571428572
expansion,SELL,weak_20-30,score_5,46,0.41304347826086957,0.38536956521739124
trend,BUY,weak_20-30,score_5,22,0.4090909090909091,0.2601636363636364
compression,BUY,flat_<20,score_5,5,0.4,0.7915000000000001
trend,BUY,weak_20-30,score_6+,15,0.4,0.3797600000000001
trend,BUY,moderate_30-40,score_6+,20,0.4,0.299585
trend,SELL,moderate_30-40,score_4,20,0.4,0.8730450000000001
range,SELL,weak_20-30,score_4,76,0.3815789473684211,0.23845
range,BUY,weak_20-30,score_4,69,0.37681159420289856,0.2624144927536232
trend,BUY,strong_40+,score_5,14,0.35714285714285715,-0.12282857142857144
trend,BUY,moderate_30-40,score_5,38,0.34210526315789475,-0.06620789473684202
range,SELL,moderate_30-40,score_3,6,0.3333333333333333,0.45403333333333334
trend,BUY,strong_40+,score_6+,9,0.3333333333333333,-0.17490000000000006
range,BUY,moderate_30-40,score_5,21,0.2857142857142857,-0.6361333333333332
compression,SELL,moderate_30-40,score_5,8,0.25,-0.7303999999999999
range,SELL,moderate_30-40,score_4,12,0.25,-0.09097500000000003
range,BUY,strong_40+,score_5,13,0.23076923076923078,-0.8835153846153845
trend,SELL,weak_20-30,score_4,14,0.21428571428571427,-0.6895071428571429
expansion,SELL,weak_20-30,score_3,5,0.2,-0.7597200000000001
compression,SELL,weak_20-30,score_4,7,0.14285714285714285,-0.9207571428571428
