feature,lr_coef,lr_pvalue,lr_or,lr_rank,perm_importance,perm_rank,shap_abs,shap_rank,cluster,avg_rank
dmi_strength,0.24522634891589684,0.015267228430615077,1.2779105341352444,4.0,0.009150175816842606,6.0,0.3022912,2.0,7,4.0
atr_percentile,0.17690045782267083,0.02207951167208344,1.1935122824026383,8.0,0.053915453915454076,2.0,0.24833788,4.0,4,4.666666666666667
rsi_value,-0.06803152246997536,0.7612718457655567,0.9342310238436526,18.0,0.05460588793922142,1.0,0.35632825,1.0,1,6.666666666666667
supertrend_direction,-0.2650375388069523,0.2345334592652656,0.7671771505203588,3.0,6.930006930018217e-05,13.0,0.07552571,11.0,1,9.0
adx_strength,-0.08850932008951987,0.5939820305817876,0.915294580068821,15.0,0.008988475655142443,7.0,0.16144136,8.0,7,10.0
rsi_strength,-0.21553956167746355,0.02498012526200734,0.8061063787067242,7.0,0.0020225353558688338,10.0,0.036119983,14.0,7,10.333333333333334
ema_spread_pct,0.025807372153520726,0.7772725705800698,1.026143265667002,21.0,0.010661943995277463,4.0,0.16174345,7.0,7,10.666666666666666
regime_confidence,0.009503555461262218,0.9107174073325959,1.0095488576413314,24.0,0.012771746105079551,3.0,0.16550326,6.0,6,11.0
structure_breaks,0.3256384705927194,0.13991272259415827,1.3849145910040561,2.0,0.00022330022330031564,12.0,0.023297705,19.0,5,11.0
macd_bullish_cross,0.1276602732244977,0.049374985495803145,1.1361669507900642,10.0,0.0013423680090347927,11.0,0.051690567,13.0,4,11.333333333333334
supertrend_strength,0.07665450489823195,0.6397271914896494,1.0796689915986988,16.0,0.006111239444572913,8.0,0.092385486,10.0,7,11.333333333333334
has_bos,-0.04163110599900948,0.7566513555364609,0.9592235671331267,20.0,0.002428069094735889,9.0,0.05506104,12.0,5,13.666666666666666
ema_bearish_cross,-0.3620787691253018,0.9739321510284,0.6962275244487044,1.0,0.0,18.0,0.0,26.0,4,15.0
volume_ratio,-0.10510321361801507,0.2126879558592668,0.9002316016303383,12.0,-0.011781011781011637,30.0,0.1770207,5.0,6,15.666666666666666
ema_bullish_alignment,0.22754361375647292,0.36874252207703095,1.2555121961632256,5.0,0.0,18.0,0.0,26.0,1,16.333333333333332
macd_hist_normalized,-0.014766498900954763,0.8989396910564286,0.9853419911812454,22.0,-0.002294602294602177,25.0,0.26568684,3.0,1,16.666666666666668
structure_trend,0.2214918269764304,0.1858039741413129,1.2479370487601718,6.0,-0.004453171119837685,28.0,0.025548492,18.0,5,17.333333333333332
has_sweep,-0.12600596231675332,0.08313447839876488,0.8816095903321154,11.0,-0.003683170349836921,27.0,0.03521313,15.0,3,17.666666666666668
regime,-0.14900860823005968,0.04491093007134402,0.8615616983457267,9.0,-0.00635763969097289,29.0,0.034217294,16.0,6,18.0
macd_bearish_cross,0.10138147258105866,0.13647173712215918,1.1066987364729823,13.0,-5.390005389997269e-05,23.0,0.0079387035,20.0,4,18.666666666666668
volume_above_avg,0.09174278365183149,0.35890641870728834,1.0960828553897968,14.0,0.0,18.0,0.0,26.0,6,19.333333333333332
has_ob,0.07066581809048188,0.2717917338727478,1.0732225143850564,17.0,-0.0003105669772334914,24.0,0.0058978293,21.0,2,20.666666666666668
ema_bullish_cross,-0.06796168579639247,0.3465551539265245,0.9342962697089664,19.0,0.0,18.0,0.0,26.0,4,21.0
ema_spread_trend,-0.012427049386086042,0.8546600780518688,0.9876498475286211,23.0,-0.0034008367341698802,26.0,0.031523682,17.0,7,22.0
trend_is_strong,0.004313453651578982,0.9470782952405432,1.004322769983153,25.0,0.0,18.0,0.0,26.0,4,23.0
ema_bearish_alignment,,,,,0.0,18.0,0.0,26.0,1,
ob_valid,,,,,0.0,18.0,0.0,26.0,2,
supertrend_bearish,,,,,0.0,18.0,0.0,26.0,1,
supertrend_bullish,,,,,0.0,18.0,0.0,26.0,1,
sweep_strength,,,,,0.009612176278843143,5.0,0.10552356,9.0,3,
