feature,auc_without,delta,important
rsi_strength,0.5097366901322179,0.009431387403191271,True
regime,0.513528191984222,0.005639885551187218,True
macd_bullish_cross,0.5148665966178729,0.004301480917536238,False
ema_strength,0.5154993119820743,0.0036687655533348407,False
macd_hist_normalized,0.5163655160566075,0.002802561478801646,False
structure_breaks,0.5165756995442805,0.002592377991128658,False
ema_spread_trend,0.5166872392612039,0.0024808382742053103,False
volume_ratio,0.5177719062749242,0.0013961712604849685,False
ema_bullish_cross,0.517828709014641,0.0013393685207682138,False
structure_trend,0.5181107795264358,0.001057298008973362,False
direction,0.518451431360228,0.0007166461751811903,False
ema_bullish_alignment,0.518451431360228,0.0007166461751811903,False
ema_bearish_alignment,0.518451431360228,0.0007166461751811903,False
has_sweep,0.5184682968928154,0.0006997806425937947,False
supertrend_direction,0.5189380717512873,0.00023000578412191164,False
supertrend_bullish,0.5189380717512873,0.00023000578412191164,False
supertrend_bearish,0.5189380717512873,0.00023000578412191164,False
ob_valid,0.5190785548395236,8.952269588557993e-05,False
has_ob,0.5190785548395236,8.952269588557993e-05,False
sweep_strength,0.5193398901611044,-0.00017181262569521127,False
ema_bearish_cross,0.5194379674813945,-0.00026988994598531324,False
macd_bearish_cross,0.5199876896194559,-0.0008196120840466836,False
supertrend_strength,0.5203501881143987,-0.001182110578989537,False
ema_spread_pct,0.5204985016760036,-0.0013304241405944772,False
adx_value,0.5206505640466306,-0.0014824865112214036,False
volume_above_avg,0.5210559006033554,-0.001887823067946215,False
trend_is_strong,0.5217646924879602,-0.002596614952551035,False
rsi_value,0.5231904961870029,-0.0040224186515936955,False
dmi_strength,0.5232806898486715,-0.0041126123132623205,False
atr_percentile,0.5240375103946519,-0.004869432859242684,False
has_bos,0.5241056887799601,-0.0049376112445509435,False
adx_strength,0.5245793272341469,-0.005411249698737741,False
regime_confidence,0.5253667432230582,-0.006198665687649041,False
