symbol,direction,regime,adx_value,signal_score,score_verdict,has_sweep,sweep_strength,has_bos,bos_type,has_ob,ob_valid,sl_source,result,pnl_pct,net_pnl_pct,win,rr,ema_strength,rsi_value,macd_hist_normalized,volume_ratio,created_at,entry_price,exit_price
BTC/USDT,SELL,expansion,45.4171185157879,5,moderate,False,0.0,False,,False,False,atr,SL,-1.0,-1.2,False,1.0,-0.6989928115035906,13.321314172324975,-0.223266,3.4604,2026-01-25 19:00:00+00:00,87250.0,88122.5
BTC/USDT,SELL,range,21.0687167423744,4,moderate,True,0.8,True,bullish,False,False,atr,TP,1.7685,1.5685,True,1.77,-0.4186414531103815,39.84205062386293,-0.037519,0.3227,2026-01-29 07:00:00+00:00,88286.9,86725.52968016
BTC/USDT,SELL,expansion,30.47772747918519,5,moderate,True,0.8,False,,False,False,atr,TP,2.2622,2.0622,True,2.0,-0.9314594727398053,14.160234106628579,-0.312196,8.1679,2026-01-29 15:00:00+00:00,85291.6,83362.09969209
BTC/USDT,SELL,trend,57.24730162232004,5,moderate,False,0.0,False,,False,False,atr,SL,-1.6701,-1.8701,False,1.0,-1.0,25.971626485129967,-0.104877,1.7404,2026-02-01 21:00:00+00:00,76709.5,77990.60483296
BTC/USDT,SELL,range,24.016480833691617,5,moderate,True,1.0,False,,False,False,structural,TP,3.5596,3.3596,True,3.51,-0.4229621489878368,34.1514542315093,-0.243647,3.1461,2026-02-03 16:00:00+00:00,77319.4,74567.1
BTC/USDT,SELL,expansion,30.319484392092903,5,moderate,True,1.0,False,,False,False,atr,SL,-1.9444,-2.1444,False,1.0,-1.0,19.90225194099084,-0.740559,4.0598,2026-02-03 18:00:00+00:00,74650.1,76101.60020778
BTC/USDT,SELL,expansion,56.488075330887234,5,moderate,False,0.0,False,,False,False,atr,TP,5.7875,5.5875,True,2.0,-1.0,20.195423919285542,-0.429912,1.6947,2026-02-05 17:00:00+00:00,67225.6,63334.89798021
BTC/USDT,SELL,range,24.239673520297202,4,moderate,True,0.8,True,bullish,False,False,structural,SL,-1.0,-1.2,False,1.0,-0.832796025139332,30.341186894117282,-0.263755,0.7973,2026-02-09 13:00:00+00:00,69208.4,69900.484
BTC/USDT,SELL,range,20.96276804632355,3,weak,True,0.6,False,,False,False,atr,SL,-1.5297,-1.7297,False,1.0,-0.5089178782585795,40.09779538600684,-0.153879,0.6901,2026-02-10 08:00:00+00:00,68800.6,69853.00847388
BTC/USDT,SELL,expansion,32.41634668637955,3,weak,False,0.0,False,,False,False,structural,TP,3.3173,3.1173,True,2.69,-0.9241751389756583,33.93857545324821,0.048275,4.2866,2026-02-11 14:00:00+00:00,68419.4,66149.73826706
